Id,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,EducationYears,Passport,Exited
0,Oluchukwu,807,Italy,Male,42.0,5,0.0,2,1.0,1.0,74900.9,13.2,27896201,0
1,Fuller,623,EEUU,Male,43.0,1,0.0,2,1.0,1.0,146379.3,12.9,28841123,0
2,Benson,601,Italy,Female,44.0,4,0.0,2,1.0,0.0,58561.31,11.8,25409833,0
3,Munro,506,France,Male,59.0,8,119152.1,2,1.0,1.0,170679.74,16.0,14451520,0
4,Murphy,560,Italy,Female,27.0,7,124995.98,1,1.0,1.0,114669.79,12.6,13143169,0
5,Root,807,France,Female,40.0,1,134590.21,1,1.0,1.0,46253.65,11.1,25624772,0
6,Piccio,439,Italy,Female,32.0,3,138901.61,1,1.0,0.0,75685.97,9.0,23269915,0
7,Temple,656,EEUU,Male,30.0,3,0.0,2,0.0,1.0,17104.0,9.0,17928404,0
8,Murray,686,Italy,Male,22.0,8,0.0,2,0.0,0.0,142331.85,11.7,21394580,0
9,Blake,464,France,Female,42.0,3,85679.25,1,1.0,1.0,164104.74,13.9,18196324,0
10,Cavill,481,EEUU,Female,57.0,9,0.0,3,1.0,1.0,169719.35,12.7,12608874,1
11,Baranov,717,EEUU,Female,36.0,2,99472.76,2,1.0,0.0,94274.72,11.1,18111673,1
12,Wilson,529,EEUU,Male,32.0,9,147493.89,1,1.0,0.0,33656.35,10.0,19651420,0
13,Walker,677,Italy,Female,43.0,3,133214.88,2,1.0,1.0,95936.84,12.8,26842840,0
14,Caldwell,696,EEUU,Male,19.0,1,110928.51,1,1.0,1.0,2766.63,10.3,25228700,0
15,Davide,599,France,Male,40.0,10,137456.28,2,1.0,1.0,14113.11,9.8,10158702,0
16,Abdulov,586,Italy,Female,57.0,3,0.0,2,0.0,1.0,6057.81,11.6,16486666,0
17,Savage,563,Italy,Male,24.0,7,0.0,2,0.0,0.0,16319.56,10.3,19040453,0
18,Tang,605,EEUU,Female,34.0,2,0.0,1,0.0,0.0,35982.42,12.3,12863266,0
19,Shao,605,EEUU,Male,41.0,5,91612.91,1,1.0,1.0,28427.84,10.7,21495332,0
20,Lucciano,679,EEUU,Male,41.0,8,147726.98,3,1.0,0.0,172749.4,11.9,15734760,1
21,Walker,762,EEUU,Male,35.0,9,0.0,2,1.0,1.0,43075.7,10.7,19891055,0
22,Hudson,687,EEUU,Female,44.0,9,0.0,2,0.0,0.0,103042.2,11.6,12613821,1
23,Chubb,708,France,Female,54.0,8,145151.4,1,0.0,1.0,125311.17,13.7,28186093,1
24,Onio,696,EEUU,Male,44.0,8,161889.79,1,0.0,0.0,75562.47,13.5,17078619,0
25,Schofield,619,EEUU,Female,35.0,4,90413.12,1,1.0,1.0,20555.21,10.3,20271714,0
26,Shaver,578,France,Male,34.0,8,147487.23,2,1.0,0.0,66680.77,10.7,28136078,0
